2016-04-16 23:38:39,168 [Worker-85] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /Users/milopreet/Documents/workspace_temporary_delete_later/example/pom.xml
2016-04-16 23:38:39,681 [Worker-85] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com:example:0.0.1-SNAPSHOT @ /Users/milopreet/Documents/workspace_temporary_delete_later/example/pom.xml.
2016-04-16 23:38:40,056 [Worker-85] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /example/src/main/java
2016-04-16 23:38:40,057 [Worker-85] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /example/src/main/resources
2016-04-16 23:38:40,057 [Worker-85] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /example/src/test/java
2016-04-16 23:38:41,431 [Worker-85] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2016-04-16 23:38:41,657 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-16 23:38:41,661 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-16 23:38:41,663 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-16 23:38:41,663 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/milopreet/Documents/workspace_temporary_delete_later/example/src/test/resources
2016-04-16 23:39:55,876 [Worker-87] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /Users/milopreet/Documents/workspace_temporary_delete_later/HibernateMaven/pom.xml
2016-04-16 23:39:56,135 [Worker-87] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:HibernateMaven:0.0.1-SNAPSHOT @ /Users/milopreet/Documents/workspace_temporary_delete_later/HibernateMaven/pom.xml.
2016-04-16 23:39:56,420 [Worker-87] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HibernateMaven/src/main/java
2016-04-16 23:39:56,420 [Worker-87] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /HibernateMaven/src/main/resources
2016-04-16 23:39:56,420 [Worker-87] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HibernateMaven/src/test/java
2016-04-16 23:39:57,219 [Worker-87] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 1 sec
2016-04-16 23:39:57,397 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-16 23:39:57,399 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-16 23:39:57,400 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-16 23:39:57,400 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/milopreet/Documents/workspace_temporary_delete_later/HibernateMaven/src/test/resources
